Score,Non- Hispanic white,Black,Hispanic,Asian
85,5.38,5.77,5.94,4.86
85.5,5.37,5.65,5.92,4.88
86,5.36,5.54,5.90,4.90
86.5,5.35,5.42,5.88,4.92
87,5.34,5.31,5.86,4.94
87.5,5.33,5.20,5.84,4.96
88,5.33,5.08,5.82,4.98
88.5,5.32,4.97,5.80,5.00
89,5.31,4.85,5.78,5.02
89.5,5.30,4.74,5.76,5.04
90,5.29,4.62,5.74,5.06
90.5,5.29,4.86,5.76,5.07
91,5.29,5.10,5.78,5.08
91.5,5.29,5.33,5.80,5.09
92,5.29,5.57,5.82,5.10
93,5.29,6.04,5.86,5.11
93.5,5.29,6.28,5.88,5.12
94,5.29,6.51,5.90,5.13
94.5,5.29,6.75,5.92,5.14
95,5.29,6.98,5.94,5.14
95.5,5.30,7.22,5.96,5.15
96,5.30,7.46,5.98,5.16
96.5,5.30,7.69,6.00,5.17
97,5.30,7.93,6.02,5.18
97.5,5.30,8.16,6.04,5.18
98,5.30,8.40,6.06,5.19
98.5,5.30,8.63,6.08,5.20
99,5.30,8.87,6.11,5.21
99.5,5.30,9.11,6.13,5.22
