Score,Non- Hispanic white,Black,Hispanic,Asian
84.5,6.33,7.55,8.10,8.17
85,6.30,7.63,8.09,8.10
85.5,6.26,7.71,8.09,8.03
86,6.22,7.79,8.08,7.96
86.5,6.19,7.87,8.08,7.89
87,6.15,7.94,8.07,7.83
87.5,6.11,8.02,8.07,7.76
88,6.08,8.10,8.07,7.69
88.5,6.04,8.18,8.06,7.62
89,6.00,8.26,8.06,7.55
89.5,5.97,8.34,8.05,7.49
90,5.93,8.41,8.05,7.42
90.5,5.85,8.54,7.82,7.30
91,5.77,8.66,7.59,7.19
91.5,5.69,8.78,7.36,7.08
92,5.61,8.90,7.13,6.97
93,5.44,9.15,6.67,6.74
93.5,5.36,9.27,6.44,6.63
94,5.28,9.39,6.21,6.52
94.5,5.20,9.51,5.98,6.40
95,5.12,9.63,5.75,6.29
95.5,5.03,9.76,5.52,6.18
96,4.95,9.88,5.29,6.06
96.5,4.87,10.00,5.07,5.95
97,4.79,10.12,4.84,5.84
97.5,4.71,10.24,4.61,5.73
98,4.63,10.37,4.38,5.61
98.5,4.55,10.49,4.15,5.50
99,4.46,10.61,3.92,5.39
99.5,4.38,10.73,3.69,5.27
100,4.30,10.85,3.46,5.16
