Score,Low,Moderate,Middle,High
91.5,,5.41,5.47,5.01
92,5.74,5.41,5.45,5.06
93,,5.41,5.40,5.15
93.5,,5.40,5.37,5.20
94,6.51,5.40,5.35,5.25
94.5,,5.40,5.32,5.30
95,,5.40,5.30,5.35
95.5,,,5.28,5.40
96,,5.39,5.25,5.45
96.5,,5.39,5.23,5.50
97,,,5.20,5.54
97.5,,5.39,5.18,5.59
98,,5.38,5.16,5.64
98.5,,5.38,5.13,5.69
99,,5.38,5.11,5.74
99.5,,,5.08,5.79
